bank,title,review_id,content,rating,date,thumbs_up,version,source
Commercial Bank,Commercial Bank of Ethiopia,90395621-bcb9-4c87-9742-57faa8e345c1,"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,a6a00b41-127d-4dda-b175-e65b9879dec7,It's good but try to make it facilitate for your client,4,2025-06-02,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,fae0ea4e-f650-415c-a91a-95b6b3149979,best app,5,2025-06-01,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,a3290b0c-4569-4ed7-87aa-3a18639b4525,Awesome bank,5,2025-06-01,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,50ffac9d-437d-4d26-af4f-b6b0153d55fd,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,60,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,0c9b996b-a42e-4500-84fa-1d5eb764f490,Masha alla,5,2025-05-31,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,8bf4df47-c266-4152-9790-4217143b3a91,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,62a13195-2c9d-4606-8f83-2866774e122c,better service,5,2025-05-31,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,66bc4eed-2004-41ea-89cd-5bed26921bc1,"it,s good app and time manager 👍",5,2025-05-30,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,17190f44-a419-45dc-be9d-68b80c5360a2,malkaamuu Jiidhaa Namoo,5,2025-05-30,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,34cf56c4-74b9-4bec-b474-0d533f8aff49,lower system everything,3,2025-05-30,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,43135ccc-5195-43a0-b7a1-c446368d8046,Nice!,5,2025-05-30,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,b99da78e-335f-40cb-bae6-26b71fa7c68c,Keep it up My CBE,5,2025-05-29,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,aa3d99be-ecdc-4651-ad1e-347f0f8cd3e2,yes good,5,2025-05-28,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,ea23b98c-f4c7-4fdc-b64f-d8097e5efd1a,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,2,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,22c85c1d-46f6-4288-aab9-b615c040e6bb,i like everything of this app,5,2025-05-27,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,058173b0-3379-42c8-9ff7-cea64a66895c,good,5,2025-05-27,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,b3310092-87a7-4996-b673-366957705b66,🤬🤬🤬🤬 network 🛜,1,2025-05-26,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,a5a0372d-1dac-4a2d-a84e-f2c4d2bdbe2b,Best,5,2025-05-26,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,fe899c01-b28c-4e6a-b221-a14759e3a97e,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,03964dd0-bf0a-4d13-a6b0-c1437d02d94f,nice,5,2025-05-26,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,55381137-2212-4d86-9e3b-37b0910b9107,good job,5,2025-05-26,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,ab728a43-6a39-41aa-a872-3e2a6154dc5a,Good,5,2025-05-25,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,a9dd0b63-ccf5-4a8e-a0cf-5aae4cc0ef3b,it's awesome!!,5,2025-05-25,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,311eda41-1f0d-412f-a35c-09eae912fcdb,best,5,2025-05-25,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,fe6bf4b0-6bbd-4d88-b5b2-fa31f19ac63f,thankyou every one,5,2025-05-25,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,d5a14f98-2d64-4666-aab0-424dd1fc7e21,best app,5,2025-05-25,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,e24202d3-c8fd-46f3-9919-a6946c6ac403,Ronaldo 🇵🇹 🥇,5,2025-05-25,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,52aa3e01-9c6a-499d-aa48-b85b82d34781,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,9e6b8e08-8acf-4e1f-a179-a5a703ff2ebc,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,15,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,d4c4a244-7c41-4d44-9541-a9fefc6190c3,mortuary app,5,2025-05-25,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,8bc7721c-3d11-4a15-a787-fdb0c266a9f4,it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,d3266f1c-8cb9-4766-a90e-47c2532a2b42,amazing app I am used this app for one year,4,2025-05-24,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,1426b3c3-e096-4535-9ec8-f9972af0ac54,👍,5,2025-05-24,0,4.3.2,Google Play
Commercial Bank,Commercial Bank of Ethiopia,505a4969-b975-4810-a641-b501ba9dc078,good app,5,2025-05-24,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,5864d26a-c52e-4755-86e5-3bfbf9f1d814,i love it 😍😘,5,2025-05-24,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f49a91cf-b302-4977-a99d-c545b7213dad,It makes life easy!👌,5,2025-05-24,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,893a61e9-9eeb-4972-9a46-1eb810d54520,its not fast,1,2025-05-24,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,9178649b-de1e-4cda-b5c0-b818fcfb560a,wow,4,2025-05-24,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,85e5a705-1f69-439d-be61-5b0cd73237e2,it is sooo good,5,2025-05-24,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,46c30714-0201-4098-a5a5-b4c94924181d,excellent,5,2025-05-24,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,fd822304-f04e-4be9-a1e0-c6ab0dd5d485,ok,1,2025-05-24,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,7663c1c2-6a74-4566-9e5d-c4451449d9d0,Fantastic,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,dad4e463-c5b1-47bc-a193-84741470825e,accessible to using,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,382b6807-a1f4-48e7-98fe-d22eeb1edd4d,I like it,4,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,5cf0ff9b-047d-4575-9351-eb77dee85e05,good,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,a68dfd3a-aaa3-48bc-84b8-842311de1b8c,why you change default network?,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,2938c3f2-fa9c-4847-98e1-b0bfc57cb614,very nice 👍,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,bbe86a27-add8-491a-9414-cb69534c384a,good,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,c2af9859-2af3-409d-8df2-57b98b6d29e1,nice fast app,5,2025-05-23,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,cb138ee0-5b31-4f4d-a98e-cc5429cdd12a,good,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,3e538d9f-cec3-4f37-ad3d-547d33729ea5,best,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,3589e146-296a-4c7c-9c8d-8f1593190cbe,how to I get my money,5,2025-05-23,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,7dc48c33-245c-4920-9cf7-4b3d40d00064,"Very bad, can't even load they need to improve their services.",1,2025-05-22,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,e207b071-24a5-447f-b6b3-0eb287986a88,"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,d3187592-0b15-407a-a9a0-bffbd13bc2fd,very busy I don't know why... I prefer 889,3,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,5c907c9f-8bd3-4703-9505-744e632c595c,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f5386dd0-124d-4a3e-964e-75f475130af9,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,cecd67ca-fc27-4414-8704-0f705520fa98,hojii bonsaadha,5,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,beef426f-6270-49b7-9f5a-ae9bc8cc3690,ok,5,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,937d6610-96cf-46b9-b9c2-34b6e475dd33,ok,5,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,310cffb5-629d-4f32-b55c-aff448ddad2d,user-friendly apps.because this app is easy.,5,2025-05-22,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,02df386f-21b3-47c3-921f-4bf17ce136f8,Awosome!!!,5,2025-05-22,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,b9c8ce60-4060-438b-a0e8-c8faf314b7a4,"Very good app,",5,2025-05-22,1,4.3.2,Google Play
Commercial Bank,Commercial Bank of Ethiopia,34d6492b-f6e7-42ed-851a-348ab215c36a,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,51d29cb1-86f9-45cb-8c16-04c431d7d213,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,23ee51ec-56a4-4b30-987a-2c854badda8d,I hate this app 😒,1,2025-05-22,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,2e950543-b00d-445e-9d57-57f26f6f8c8c,trustful,5,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,4e46ad7e-37a8-4538-8add-83c140705840,I like,5,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,0073bcff-2f19-431b-ac20-770d2c08e9a4,update issue,4,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,392ef1b2-7904-4874-99c5-45d7d98344ac,its not working over safari network,1,2025-05-22,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f52e56b1-7c66-4e8f-942d-06f23ea3ecae,oldie,1,2025-05-22,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,832328c2-cdd0-465b-b6eb-e519f7ffa59d,it doesn't work,1,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,c87d1b60-a04d-4750-ac31-d46a08adf46b,best,5,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,39f74545-07ff-415e-a401-2266fe41e7df,"This app is good, and we are using it well",1,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,4ba8ffe0-42c2-409c-a00b-8c784ed2b1e9,ok,5,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,a526cc1a-0040-4cb5-87cb-30b59f51a06e,best app,5,2025-05-21,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,7eab74f1-3686-4b99-8a23-28fd9d27f6a4,best,5,2025-05-21,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,05e70242-c8ac-4cee-8b41-22da134c5837,very nice 👌 app for android phone,5,2025-05-21,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,5a727b0d-4427-4abe-8e9f-9e36369c849c,good app,5,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,4040342a-f343-4818-8d39-d9ae5c12d4bc,Yes Yes,5,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f9d83d70-1916-498f-91e9-acaa7a5d75f1,በጣም ከርፋፋ,1,2025-05-21,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,ca0ab815-f3f0-4620-9660-bfb79f818314,easy to use helpful in my life,5,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,0a051c60-7488-4b4c-9a53-672827aaef6f,good 👍,4,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,da58ef58-30bf-41a7-b705-66e5ae261011,the best mobile banking app,5,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,30cfce0b-7504-425f-89a9-8091ffa24920,"this app is very useful app,it saves time,and it is secure",4,2025-05-21,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,040716c7-d5a4-40e4-8132-3e8b20574592,ok,2,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,c0595f27-7901-4d8b-8363-ea3601854094,it's a good application 👍,5,2025-05-21,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,26fd7f14-c17f-4081-8910-45f2008ca145,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,b22fe51f-e673-41ae-a625-2f8f1cce76ee,poor service,1,2025-05-21,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,724eed5b-dd3a-47c2-865c-b6b63437c650,amazing,5,2025-05-20,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,9eff9bee-1e05-4f68-ae9a-2de67b8564bc,it is reliable and easy to use.,5,2025-05-20,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,cdad77fa-fadb-494d-970c-d816e2f6a83d,the most annoying mobile banking app I've ever seen,1,2025-05-20,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,0869bd94-48d8-4a25-8aa3-d2dd8522ac1d,Cbe mobile banking,5,2025-05-20,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,5be1f935-aaad-4981-8f31-02d880bb987f,"i can't make Screenshout in this app, please made modification",5,2025-05-20,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,ba4b588c-3388-4ee1-8cca-4eae702a81e5,Best app I loved it,5,2025-05-19,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,c32663ff-736c-49fc-9f18-b413f4aa4826,nice app,5,2025-05-19,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,4d714161-e4d6-4686-80ac-e71c6ffe4308,wow,5,2025-05-18,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,7b6c801d-4f97-44bd-b59f-252cde7c0515,Amazing applicatiom sometimes doesnt work!,5,2025-05-18,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,2fe903d9-41fe-4ec3-9a2d-fd0acfe57725,well satisfied with this beautiful app,5,2025-05-18,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,9639b30c-353a-4364-9dba-b3360f1734af,very good,4,2025-05-17,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,e2fcbf5a-a6c3-4d48-9a81-cc2fb4c0eb0b,best app.,5,2025-05-17,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,e57abb98-0508-4d0c-a321-e780b490a278,good,5,2025-05-17,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,7e493c4b-0d15-4444-9d9c-144b59c3fe49,"not working,why???",5,2025-05-17,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,67398692-d12e-4229-9f88-67f25f1a7336,Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,d7dc9c26-6954-4247-b04e-d870e1df24e3,excellent,5,2025-05-17,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,539ea673-656c-44ce-b226-f61677fd6e31,always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,23ffabb6-3005-403f-a16b-10e24aab5f7e,woxe harimo ribiso,5,2025-05-17,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,b736be05-f904-41bc-8fa2-af026795b650,good,5,2025-05-16,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,d4b852bb-683b-41ea-85ba-6ed38bed539c,"Good ,easy to use",5,2025-05-16,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,d5f1430c-e8ce-4786-8cc2-f3af6b4f9015,Good app,5,2025-05-15,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,9954b052-2fbe-4d52-8a5e-7f92f70b3dd5,Good job👍,5,2025-05-14,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,7083e86f-0ee6-42c4-b177-c0b04bce1fa1,good,5,2025-05-14,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,6f106ca0-c98c-4282-a880-eafdb3834cf6,nice,5,2025-05-14,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,7fbce453-198b-401e-ab72-5f778309cd92,"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,336d7230-c7c0-4aa9-9d43-17ddfbffbca1,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,3,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,91f3ee87-fb66-4106-809a-fee5c30761cb,customer service is bad nothing is good about this bank,1,2025-05-13,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,150068b3-36ed-489b-8ad7-b8121c0d8662,It is Amazing Mobile Banking App....But why the screenshot of the receipt doesnt work,5,2025-05-13,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,0ee61e87-0b46-405b-9ac6-219eea2399a0,fast and simple easy to use 👌,5,2025-05-12,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,a878dd26-bc46-4da6-8a6e-99794c921510,The fastest transferring app I ever had its so reliable,5,2025-05-11,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,1c69ba75-de9a-4dd4-9e84-e19d985c0d4d,"Funds transferred from the same bank do not reflect in the account, even though a confirmation text message was received.",3,2025-05-11,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,955c6dc7-0841-4c20-8796-35504174788b,it's easy and fast,5,2025-05-10,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,552dc072-e6aa-4360-a85c-161ffa4d575e,This app don't have self activation only you have to look near cbe branch that's disgusting,1,2025-05-10,1,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,719d06b2-b929-4dfa-98e8-8e24cff1bc13,hello dearest CBE office personnel make some benefits for those using interest free accounts thanks for your help,5,2025-05-09,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,bd9d8254-264a-428c-8d48-2449e2260108,wow best application ever,5,2025-05-09,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,8506f1a9-94cd-4932-a493-89914ab1dbe5,good,5,2025-05-09,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,f569e45d-b7d5-4c40-bc43-18ac0e13965a,"Am sorry but what does developer mode do to the application ? hack it ? are you sure you are developer or are you stupid, doesnt makes sense,",1,2025-05-08,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,0330774f-f331-4b09-a8df-080e2970440d,Best,4,2025-05-08,0,,Google Play
Commercial Bank,Commercial Bank of Ethiopia,7327f7dd-510f-4054-9541-8157e0ae9b18,the pride of Ethiopian bank 🏦,5,2025-05-08,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,a41ead51-812c-49bc-bd00-d7fc843231f5,why the app telling me to turn of developer options please fix it.,1,2025-05-07,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,0f07644d-eb30-428e-af2f-41aa984c6abd,good,5,2025-05-07,0,5.1.0,Google Play
Commercial Bank,Commercial Bank of Ethiopia,df28585f-becc-4398-8a86-6adcf887ea1d,ok,5,2025-05-07,0,,Google Play
