bank,title,review_id,content,rating,date,thumbs_up,version,source,cleaned_text,sentiment_label,sentiment_score,keywords,themes
Commercial Bank,Commercial Bank of Ethiopia,9af95d2a-e42c-45ff-a4c9-5c38765df4a4,it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,0,5.1.0,Google Play,good app issue like not right bank issue transfer,negative,0.9981192946434021,"issue,transfer,like,good app,bank","Transaction Performance,Reliability"
Commercial Bank,Commercial Bank of Ethiopia,88a64315-9de3-4a35-ac27-5ff37c2833b6,good,5,2025-06-04,0,5.1.0,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,c2cf0ff7-85ac-4e7c-902d-a8c5a8d69e22,Good,5,2025-06-04,0,5.1.0,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,acadb124-d34c-4387-97e8-266200c78d4e,👌👍,5,2025-06-04,0,5.1.0,Google Play,,negative,0.6970565915107727,,Other
Commercial Bank,Commercial Bank of Ethiopia,42eed344-f5b7-49be-a7eb-b1c14386e20b,very niec,5,2025-06-04,0,5.1.0,Google Play,niec,positive,0.5192620754241943,,Other
Commercial Bank,Commercial Bank of Ethiopia,fce00cda-d71a-486e-a4c2-7479ab7793bc,best app of finance,5,2025-06-04,0,,Google Play,good app finance,positive,0.9996503591537476,"good app,good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,f543a13e-bc0f-4348-b57f-3a83eb67206c,yetemeta,1,2025-06-03,0,5.1.0,Google Play,yetemeta,positive,0.6553664803504944,,Other
Commercial Bank,Commercial Bank of Ethiopia,2470d199-834a-4134-a0f9-8c684ba75491,Engida Kebede Fetera,5,2025-06-03,0,5.1.0,Google Play,engida kebede fetera,negative,0.8396738767623901,,Other
Commercial Bank,Commercial Bank of Ethiopia,4beee0dd-05ad-474c-bdff-0146723f2179,good,5,2025-06-03,0,5.1.0,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,428e5117-387f-4c9d-b095-3230e3f83a8a,it is not safety,1,2025-06-03,0,5.1.0,Google Play,safety,negative,0.9997867941856384,,Other
Commercial Bank,Commercial Bank of Ethiopia,f897e474-f560-4cf9-b66b-48c455443bfe,NICE bank,5,2025-06-03,0,5.1.0,Google Play,nice bank,positive,0.9998055100440979,"nice,bank",Other
Commercial Bank,Commercial Bank of Ethiopia,2f605bab-a62d-4298-bb1d-0b749bc666c4,it is like a childish app make it better the worst I have ever seen,1,2025-06-02,0,,Google Play,like childish app well bad see,negative,0.9997958540916443,"bad,like,app",Other
Commercial Bank,Commercial Bank of Ethiopia,90395621-bcb9-4c87-9742-57faa8e345c1,"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,0,5.1.0,Google Play,problem solver application ahead cbe love,positive,0.9997678399085999,"ahead,problem,love,cbe,application",Reliability
Commercial Bank,Commercial Bank of Ethiopia,a6a00b41-127d-4dda-b175-e65b9879dec7,It's good but try to make it facilitate for your client,4,2025-06-02,0,5.1.0,Google Play,good try facilitate client,positive,0.9491767883300781,"try,good",Other
Commercial Bank,Commercial Bank of Ethiopia,fae0ea4e-f650-415c-a91a-95b6b3149979,best app,5,2025-06-01,0,5.1.0,Google Play,good app,positive,0.999686598777771,"good app,good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,a3290b0c-4569-4ed7-87aa-3a18639b4525,Awesome bank,5,2025-06-01,0,5.1.0,Google Play,awesome bank,positive,0.9998461008071899,bank,Other
Commercial Bank,Commercial Bank of Ethiopia,50ffac9d-437d-4d26-af4f-b6b0153d55fd,this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,60,5.1.0,Google Play,app develop good way comment need 1 prevent screenshot likely good like coz need screenshot quick evidence 2it good access recent transaction history 30 day coz not bank person old transaction add colander category user easily access old transaction colander,negative,0.9983141422271729,"transaction,access,screenshot,need,good","Account Access Issues,Transaction Performance,User Interface,Feature Requests"
Commercial Bank,Commercial Bank of Ethiopia,0c9b996b-a42e-4500-84fa-1d5eb764f490,Masha alla,5,2025-05-31,0,5.1.0,Google Play,masha alla,negative,0.9514626860618591,,Other
Commercial Bank,Commercial Bank of Ethiopia,8bf4df47-c266-4152-9790-4217143b3a91,"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,1,5.1.0,Google Play,recently big problem send safaricom telebir cbebirr wallet anybody responsible fix frustrating 5 day money not return take account not send mpesa update correct send money m afraid send,negative,0.9991102814674377,"send,money,day,problem,account","Account Access Issues,Reliability"
Commercial Bank,Commercial Bank of Ethiopia,62a13195-2c9d-4606-8f83-2866774e122c,better service,5,2025-05-31,0,5.1.0,Google Play,well service,positive,0.9982219338417053,service,Customer Support
Commercial Bank,Commercial Bank of Ethiopia,66bc4eed-2004-41ea-89cd-5bed26921bc1,"it,s good app and time manager 👍",5,2025-05-30,0,5.1.0,Google Play,good app time manager,positive,0.9998370409011841,"time,good app,good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,17190f44-a419-45dc-be9d-68b80c5360a2,malkaamuu Jiidhaa Namoo,5,2025-05-30,0,5.1.0,Google Play,malkaamuu jiidhaa namoo,negative,0.9887813329696655,,Other
Commercial Bank,Commercial Bank of Ethiopia,34cf56c4-74b9-4bec-b474-0d533f8aff49,lower system everything,3,2025-05-30,0,,Google Play,low system,negative,0.9993475079536438,,Other
Commercial Bank,Commercial Bank of Ethiopia,43135ccc-5195-43a0-b7a1-c446368d8046,Nice!,5,2025-05-30,0,,Google Play,nice,positive,0.999863862991333,nice,Other
Commercial Bank,Commercial Bank of Ethiopia,b99da78e-335f-40cb-bae6-26b71fa7c68c,Keep it up My CBE,5,2025-05-29,0,5.1.0,Google Play,cbe,positive,0.9996104836463928,cbe,Other
Commercial Bank,Commercial Bank of Ethiopia,aa3d99be-ecdc-4651-ad1e-347f0f8cd3e2,yes good,5,2025-05-28,0,5.1.0,Google Play,yes good,positive,0.9998410940170288,good,Other
Commercial Bank,Commercial Bank of Ethiopia,ea23b98c-f4c7-4fdc-b64f-d8097e5efd1a,"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,2,5.1.0,Google Play,app year problem stop work 3 month ago try transfer fund give error not transaction inactive account,negative,0.9996353387832642,"problem,try,account,transfer,transaction","Account Access Issues,Transaction Performance,Reliability"
Commercial Bank,Commercial Bank of Ethiopia,22c85c1d-46f6-4288-aab9-b615c040e6bb,i like everything of this app,5,2025-05-27,0,5.1.0,Google Play,like app,positive,0.9996908903121948,"like,app",Other
Commercial Bank,Commercial Bank of Ethiopia,058173b0-3379-42c8-9ff7-cea64a66895c,good,5,2025-05-27,0,5.1.0,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,b3310092-87a7-4996-b673-366957705b66,🤬🤬🤬🤬 network 🛜,1,2025-05-26,0,5.1.0,Google Play,  network,negative,0.685613214969635,,Other
Commercial Bank,Commercial Bank of Ethiopia,a5a0372d-1dac-4a2d-a84e-f2c4d2bdbe2b,Best,5,2025-05-26,0,5.1.0,Google Play,well,positive,0.9997941851615906,,Other
Commercial Bank,Commercial Bank of Ethiopia,fe899c01-b28c-4e6a-b221-a14759e3a97e,CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,0,,Google Play,cbe good financial application dimple use like thank developer application appreciate app,positive,0.9982792139053345,"application,financial,thank,cbe,developer",Other
Commercial Bank,Commercial Bank of Ethiopia,03964dd0-bf0a-4d13-a6b0-c1437d02d94f,nice,5,2025-05-26,0,5.1.0,Google Play,nice,positive,0.9998552799224854,nice,Other
Commercial Bank,Commercial Bank of Ethiopia,55381137-2212-4d86-9e3b-37b0910b9107,good job,5,2025-05-26,0,,Google Play,good job,positive,0.999835729598999,good,Other
Commercial Bank,Commercial Bank of Ethiopia,ab728a43-6a39-41aa-a872-3e2a6154dc5a,Good,5,2025-05-25,0,,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,a9dd0b63-ccf5-4a8e-a0cf-5aae4cc0ef3b,it's awesome!!,5,2025-05-25,0,5.1.0,Google Play,awesome,positive,0.999871015548706,,Other
Commercial Bank,Commercial Bank of Ethiopia,311eda41-1f0d-412f-a35c-09eae912fcdb,best,5,2025-05-25,0,5.1.0,Google Play,well,positive,0.9997941851615906,,Other
Commercial Bank,Commercial Bank of Ethiopia,fe6bf4b0-6bbd-4d88-b5b2-fa31f19ac63f,thankyou every one,5,2025-05-25,0,5.1.0,Google Play,thankyou,positive,0.9998461008071899,,Other
Commercial Bank,Commercial Bank of Ethiopia,d5a14f98-2d64-4666-aab0-424dd1fc7e21,best app,5,2025-05-25,0,5.1.0,Google Play,good app,positive,0.999686598777771,"good app,good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,e24202d3-c8fd-46f3-9919-a6946c6ac403,Ronaldo 🇵🇹 🥇,5,2025-05-25,0,5.1.0,Google Play,ronaldo,positive,0.9948286414146423,,Other
Commercial Bank,Commercial Bank of Ethiopia,52aa3e01-9c6a-499d-aa48-b85b82d34781,"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,0,5.1.0,Google Play,app absolutely fantastic love enjoy let support foundation,positive,0.9998852014541626,"love,app",Customer Support
Commercial Bank,Commercial Bank of Ethiopia,9e6b8e08-8acf-4e1f-a179-a5a703ff2ebc,"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,15,5.1.0,Google Play,cbe app highly unreliable recent week frequently fail work properly ethio telecom safaricom network wifi mobile datum week system entirely extended period make difficult access banking service app function intermittently lack consistency frustrating hope issue address soon nontechnical influence remove essential service,negative,0.9997394680976868,"service,highly,access,issue,make","Account Access Issues,Reliability,Customer Support,Feature Requests"
Commercial Bank,Commercial Bank of Ethiopia,d4c4a244-7c41-4d44-9541-a9fefc6190c3,mortuary app,5,2025-05-25,0,5.1.0,Google Play,mortuary app,negative,0.7924914956092834,app,Other
Commercial Bank,Commercial Bank of Ethiopia,8bc7721c-3d11-4a15-a787-fdb0c266a9f4,it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,1,5.1.0,Google Play,smart app stop period time device reason,negative,0.9961044788360596,"time,app",Other
Commercial Bank,Commercial Bank of Ethiopia,d3266f1c-8cb9-4766-a90e-47c2532a2b42,amazing app I am used this app for one year,4,2025-05-24,0,5.1.0,Google Play,amazing app app year,positive,0.9991408586502075,"amazing app,amazing,app",Other
Commercial Bank,Commercial Bank of Ethiopia,1426b3c3-e096-4535-9ec8-f9972af0ac54,👍,5,2025-05-24,0,4.3.2,Google Play,,negative,0.6970565915107727,,Other
Commercial Bank,Commercial Bank of Ethiopia,505a4969-b975-4810-a641-b501ba9dc078,good app,5,2025-05-24,0,5.1.0,Google Play,good app,positive,0.9998493194580078,"good app,good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,5864d26a-c52e-4755-86e5-3bfbf9f1d814,i love it 😍😘,5,2025-05-24,0,,Google Play,love,positive,0.9998791217803955,love,Other
Commercial Bank,Commercial Bank of Ethiopia,f49a91cf-b302-4977-a99d-c545b7213dad,It makes life easy!👌,5,2025-05-24,0,5.1.0,Google Play,make life easy,positive,0.9993600249290466,"life,make,easy",Other
Commercial Bank,Commercial Bank of Ethiopia,893a61e9-9eeb-4972-9a46-1eb810d54520,its not fast,1,2025-05-24,0,5.1.0,Google Play,fast,negative,0.9949808716773987,fast,Transaction Performance
Commercial Bank,Commercial Bank of Ethiopia,9178649b-de1e-4cda-b5c0-b818fcfb560a,wow,4,2025-05-24,1,5.1.0,Google Play,wow,positive,0.999592125415802,wow,Other
Commercial Bank,Commercial Bank of Ethiopia,85e5a705-1f69-439d-be61-5b0cd73237e2,it is sooo good,5,2025-05-24,0,5.1.0,Google Play,sooo good,positive,0.9998735189437866,good,Other
Commercial Bank,Commercial Bank of Ethiopia,46c30714-0201-4098-a5a5-b4c94924181d,excellent,5,2025-05-24,0,5.1.0,Google Play,excellent,positive,0.9998434782028198,excellent,Other
Commercial Bank,Commercial Bank of Ethiopia,fd822304-f04e-4be9-a1e0-c6ab0dd5d485,ok,1,2025-05-24,0,5.1.0,Google Play,ok,positive,0.9997851252555847,ok,Other
Commercial Bank,Commercial Bank of Ethiopia,7663c1c2-6a74-4566-9e5d-c4451449d9d0,Fantastic,5,2025-05-23,0,5.1.0,Google Play,fantastic,positive,0.9998743534088135,,Other
Commercial Bank,Commercial Bank of Ethiopia,dad4e463-c5b1-47bc-a193-84741470825e,accessible to using,5,2025-05-23,0,5.1.0,Google Play,accessible,positive,0.999116837978363,,Account Access Issues
Commercial Bank,Commercial Bank of Ethiopia,382b6807-a1f4-48e7-98fe-d22eeb1edd4d,I like it,4,2025-05-23,0,5.1.0,Google Play,like,positive,0.9998593330383301,like,Other
Commercial Bank,Commercial Bank of Ethiopia,5cf0ff9b-047d-4575-9351-eb77dee85e05,good,5,2025-05-23,0,5.1.0,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,a68dfd3a-aaa3-48bc-84b8-842311de1b8c,why you change default network?,5,2025-05-23,0,5.1.0,Google Play,change default network,negative,0.9962357878684998,,Other
Commercial Bank,Commercial Bank of Ethiopia,2938c3f2-fa9c-4847-98e1-b0bfc57cb614,very nice 👍,5,2025-05-23,0,5.1.0,Google Play,nice,positive,0.9998577833175659,nice,Other
Commercial Bank,Commercial Bank of Ethiopia,bbe86a27-add8-491a-9414-cb69534c384a,good,5,2025-05-23,0,5.1.0,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,c2af9859-2af3-409d-8df2-57b98b6d29e1,nice fast app,5,2025-05-23,0,,Google Play,nice fast app,positive,0.999833345413208,"nice,fast,app",Transaction Performance
Commercial Bank,Commercial Bank of Ethiopia,cb138ee0-5b31-4f4d-a98e-cc5429cdd12a,good,5,2025-05-23,0,5.1.0,Google Play,good,positive,0.9998161196708679,good,Other
Commercial Bank,Commercial Bank of Ethiopia,3e538d9f-cec3-4f37-ad3d-547d33729ea5,best,5,2025-05-23,0,5.1.0,Google Play,well,positive,0.9997941851615906,,Other
Commercial Bank,Commercial Bank of Ethiopia,3589e146-296a-4c7c-9c8d-8f1593190cbe,how to I get my money,5,2025-05-23,0,5.1.0,Google Play,money,negative,0.9934091567993164,money,Other
Commercial Bank,Commercial Bank of Ethiopia,7dc48c33-245c-4920-9cf7-4b3d40d00064,"Very bad, can't even load they need to improve their services.",1,2025-05-22,1,5.1.0,Google Play,bad not load need improve service,negative,0.9998165965080261,"improve,service,bad,need","Transaction Performance,Customer Support"
Commercial Bank,Commercial Bank of Ethiopia,e207b071-24a5-447f-b6b3-0eb287986a88,"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,1,5.1.0,Google Play,good app reliable crash,positive,0.9649853706359863,"crash,reliable,good app,good,app",Reliability
Commercial Bank,Commercial Bank of Ethiopia,d3187592-0b15-407a-a9a0-bffbd13bc2fd,very busy I don't know why... I prefer 889,3,2025-05-22,0,5.1.0,Google Play,busy not know prefer 889,negative,0.9991938471794128,know,Other
Commercial Bank,Commercial Bank of Ethiopia,5c907c9f-8bd3-4703-9505-744e632c595c,"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,0,5.1.0,Google Play,nasty lag hour fix rest,negative,0.9966771602630615,fix,Other
Commercial Bank,Commercial Bank of Ethiopia,f5386dd0-124d-4a3e-964e-75f475130af9,the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,0,5.1.0,Google Play,boring mobil banking application ethiopiaplease use alternative private bank mobile banking app,negative,0.9986202716827393,"banking,banking app,mobile banking,application,mobile",Other
Commercial Bank,Commercial Bank of Ethiopia,cecd67ca-fc27-4414-8704-0f705520fa98,hojii bonsaadha,5,2025-05-22,0,5.1.0,Google Play,hojii bonsaadha,positive,0.9568661451339722,,Other
Commercial Bank,Commercial Bank of Ethiopia,beef426f-6270-49b7-9f5a-ae9bc8cc3690,ok,5,2025-05-22,0,5.1.0,Google Play,ok,positive,0.9997851252555847,ok,Other
Commercial Bank,Commercial Bank of Ethiopia,937d6610-96cf-46b9-b9c2-34b6e475dd33,ok,5,2025-05-22,0,5.1.0,Google Play,ok,positive,0.9997851252555847,ok,Other
Commercial Bank,Commercial Bank of Ethiopia,310cffb5-629d-4f32-b55c-aff448ddad2d,user-friendly apps.because this app is easy.,5,2025-05-22,1,5.1.0,Google Play,userfriendly appsbecause app easy,positive,0.955450713634491,"userfriendly,easy,app",Other
Commercial Bank,Commercial Bank of Ethiopia,02df386f-21b3-47c3-921f-4bf17ce136f8,Awosome!!!,5,2025-05-22,0,,Google Play,awosome,positive,0.6944916844367981,,Other
Commercial Bank,Commercial Bank of Ethiopia,b9c8ce60-4060-438b-a0e8-c8faf314b7a4,"Very good app,",5,2025-05-22,1,4.3.2,Google Play,good app,positive,0.9998691082000732,"good app,good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,34d6492b-f6e7-42ed-851a-348ab215c36a,sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-05-22,0,5.1.0,Google Play,sync problem 22 2025 date stack 8 2025 help pls,negative,0.992516815662384,problem,"Reliability,Customer Support"
Commercial Bank,Commercial Bank of Ethiopia,51d29cb1-86f9-45cb-8c16-04c431d7d213,ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,0,,Google Play,ይህ መተግበሪያ በጣም ጥሩ ነው app nice,positive,0.9997020363807678,"በጣም,ነው,nice,app",Other
Commercial Bank,Commercial Bank of Ethiopia,23ee51ec-56a4-4b30-987a-2c854badda8d,I hate this app 😒,1,2025-05-22,0,,Google Play,hate app,negative,0.9996378421783447,app,Other
Commercial Bank,Commercial Bank of Ethiopia,2e950543-b00d-445e-9d57-57f26f6f8c8c,trustful,5,2025-05-22,0,5.1.0,Google Play,trustful,positive,0.9998213648796082,,Other
Commercial Bank,Commercial Bank of Ethiopia,4e46ad7e-37a8-4538-8add-83c140705840,I like,5,2025-05-22,0,5.1.0,Google Play,like,positive,0.9998149275779724,like,Other
Commercial Bank,Commercial Bank of Ethiopia,0073bcff-2f19-431b-ac20-770d2c08e9a4,update issue,4,2025-05-22,0,5.1.0,Google Play,update issue,positive,0.5473260283470154,"issue,update",Reliability
Commercial Bank,Commercial Bank of Ethiopia,392ef1b2-7904-4874-99c5-45d7d98344ac,its not working over safari network,1,2025-05-22,0,,Google Play,work safari network,negative,0.9991377592086792,work,Other
Commercial Bank,Commercial Bank of Ethiopia,f52e56b1-7c66-4e8f-942d-06f23ea3ecae,oldie,1,2025-05-22,0,5.1.0,Google Play,oldie,negative,0.6663177013397217,,Other
Commercial Bank,Commercial Bank of Ethiopia,832328c2-cdd0-465b-b6eb-e519f7ffa59d,it doesn't work,1,2025-05-21,0,5.1.0,Google Play,not work,negative,0.9997813105583191,work,Other
Commercial Bank,Commercial Bank of Ethiopia,c87d1b60-a04d-4750-ac31-d46a08adf46b,best,5,2025-05-21,0,5.1.0,Google Play,well,positive,0.9997941851615906,,Other
Commercial Bank,Commercial Bank of Ethiopia,39f74545-07ff-415e-a401-2266fe41e7df,"This app is good, and we are using it well",1,2025-05-21,0,5.1.0,Google Play,app good,positive,0.999855637550354,"good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,4ba8ffe0-42c2-409c-a00b-8c784ed2b1e9,ok,5,2025-05-21,0,5.1.0,Google Play,ok,positive,0.9997851252555847,ok,Other
Commercial Bank,Commercial Bank of Ethiopia,a526cc1a-0040-4cb5-87cb-30b59f51a06e,best app,5,2025-05-21,0,,Google Play,good app,positive,0.999686598777771,"good app,good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,7eab74f1-3686-4b99-8a23-28fd9d27f6a4,best,5,2025-05-21,0,,Google Play,well,positive,0.9997941851615906,,Other
Commercial Bank,Commercial Bank of Ethiopia,05e70242-c8ac-4cee-8b41-22da134c5837,very nice 👌 app for android phone,5,2025-05-21,0,,Google Play,nice app android phone,positive,0.9994401335716248,"nice app,phone,nice,app",Other
Commercial Bank,Commercial Bank of Ethiopia,5a727b0d-4427-4abe-8e9f-9e36369c849c,good app,5,2025-05-21,0,5.1.0,Google Play,good app,positive,0.9998493194580078,"good app,good,app",Other
Commercial Bank,Commercial Bank of Ethiopia,4040342a-f343-4818-8d39-d9ae5c12d4bc,Yes Yes,5,2025-05-21,0,5.1.0,Google Play,yes yes,positive,0.9997482895851135,,Other
Commercial Bank,Commercial Bank of Ethiopia,f9d83d70-1916-498f-91e9-acaa7a5d75f1,በጣም ከርፋፋ,1,2025-05-21,0,,Google Play,በጣም ከርፋፋ,negative,0.7850590348243713,በጣም,Other
Commercial Bank,Commercial Bank of Ethiopia,ca0ab815-f3f0-4620-9660-bfb79f818314,easy to use helpful in my life,5,2025-05-21,0,5.1.0,Google Play,easy use helpful life,positive,0.9981144666671753,"life,easy use,easy,use",Customer Support
Commercial Bank,Commercial Bank of Ethiopia,0a051c60-7488-4b4c-9a53-672827aaef6f,good 👍,4,2025-05-21,0,5.1.0,Google Play,good,positive,0.9998576641082764,good,Other
Commercial Bank,Commercial Bank of Ethiopia,da58ef58-30bf-41a7-b705-66e5ae261011,the best mobile banking app,5,2025-05-21,0,5.1.0,Google Play,good mobile banking app,positive,0.9998278617858887,"banking app,mobile banking,mobile,banking,good",Other
Commercial Bank,Commercial Bank of Ethiopia,30cfce0b-7504-425f-89a9-8091ffa24920,"this app is very useful app,it saves time,and it is secure",4,2025-05-21,1,5.1.0,Google Play,app useful appit save timeand secure,positive,0.9992597699165344,"secure,app",Other
Commercial Bank,Commercial Bank of Ethiopia,040716c7-d5a4-40e4-8132-3e8b20574592,ok,2,2025-05-21,0,5.1.0,Google Play,ok,positive,0.9997851252555847,ok,Other
Commercial Bank,Commercial Bank of Ethiopia,c0595f27-7901-4d8b-8363-ea3601854094,it's a good application 👍,5,2025-05-21,0,,Google Play,good application,positive,0.9998123049736023,"application,good",Other
Commercial Bank,Commercial Bank of Ethiopia,26fd7f14-c17f-4081-8910-45f2008ca145,the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,0,,Google Play,screenshot reffresh option annoying make transaction delay activity,negative,0.9997513890266418,"screenshot,make,option,transaction","Transaction Performance,Feature Requests"
